escola;Cod_turma;Turma;Tipo_Turma;Turno;Capacidade_sala;Serie;Alunos_Matriculados;Alunos_Matriculados_NEE
EM PROFESSOR OSWALDO LIMA RODRIGUES;22493;323;NORMAL;TARDE;25;3º ANO;12;1
EM REGINALDO DOMINGUES DOS SANTOS;21000;PRÉ I 11;NORMAL;MANHÃ;20;PRÉ I;16;2
EM REGINALDO DOMINGUES DOS SANTOS;21001;PRÉ I 12;NORMAL;MANHÃ;20;PRÉ I;18;3
EM REGINALDO DOMINGUES DOS SANTOS;21002;PRÉ I 21;NORMAL;TARDE;20;PRÉ I;20;1
EM REGINALDO DOMINGUES DOS SANTOS;21003;PRÉ II 11;NORMAL;MANHÃ;20;PRÉ II;16;0
EM REGINALDO DOMINGUES DOS SANTOS;21004;PRÉ II 21;NORMAL;TARDE;20;PRÉ II;19;1
EM REGINALDO DOMINGUES DOS SANTOS;21005;PRÉ II 22;NORMAL;TARDE;20;PRÉ II;18;1
EM REGINALDO DOMINGUES DOS SANTOS;21733;101;NORMAL;INTEGRAL;25;1º ANO;21;1
EM REGINALDO DOMINGUES DOS SANTOS;21735;102;NORMAL;INTEGRAL;25;1º ANO;22;1
EM REGINALDO DOMINGUES DOS SANTOS;21738;103;NORMAL;INTEGRAL;25;1º ANO;22;2
EM REGINALDO DOMINGUES DOS SANTOS;21741;211;NORMAL;MANHÃ;25;2º ANO;23;6
EM REGINALDO DOMINGUES DOS SANTOS;21748;221;NORMAL;TARDE;25;2º ANO;21;3
EM REGINALDO DOMINGUES DOS SANTOS;21749;222;NORMAL;TARDE;25;2º ANO;24;3
EM REGINALDO DOMINGUES DOS SANTOS;21751;311;NORMAL;MANHÃ;25;3º ANO;24;0
EM REGINALDO DOMINGUES DOS SANTOS;21753;321;NORMAL;TARDE;25;3º ANO;23;1
EM REGINALDO DOMINGUES DOS SANTOS;21754;322;NORMAL;TARDE;25;3º ANO;23;3
EM REGINALDO DOMINGUES DOS SANTOS;21756;401;NORMAL;INTEGRAL;30;4º ANO;27;1
EM REGINALDO DOMINGUES DOS SANTOS;21757;402;NORMAL;INTEGRAL;30;4º ANO;27;3
EM REGINALDO DOMINGUES DOS SANTOS;21758;403;NORMAL;INTEGRAL;30;4º ANO;28;3
EM REGINALDO DOMINGUES DOS SANTOS;21760;511;NORMAL;MANHÃ;30;5º ANO;30;2
EM REGINALDO DOMINGUES DOS SANTOS;21762;521;NORMAL;TARDE;30;5º ANO;26;4
EM RETIRO;21006;MATERNAL II 11;NORMAL;MANHÃ;15;MATERNAL II;14;1
EM RETIRO;21007;MATERNAL II 21;NORMAL;TARDE;15;MATERNAL II;14;1
EM RETIRO;21008;PRÉ I 11;NORMAL;MANHÃ;15;PRÉ I;13;2
EM RETIRO;21009;PRÉ I 12;NORMAL;MANHÃ;15;PRÉ I;15;0
EM RETIRO;21010;PRÉ II 21;NORMAL;TARDE;15;PRÉ II;8;1
EM RETIRO;21011;PRÉ II 22;NORMAL;TARDE;15;PRÉ II;11;1
EM RETIRO;21217;111;NORMAL;MANHÃ;20;1º ANO;17;2
EM RETIRO;21218;121;NORMAL;TARDE;20;1º ANO;17;2
EM RETIRO;21219;211;NORMAL;MANHÃ;20;2º ANO;15;0
EM RETIRO;21220;221;NORMAL;TARDE;20;2º ANO;15;3
EM RETIRO;21221;311;NORMAL;MANHÃ;20;3º ANO;18;0
EM RETIRO;21222;321;NORMAL;TARDE;20;3º ANO;18;1
EM RETIRO;21610;411;NORMAL;MANHÃ;20;4º ANO;16;2
EM RETIRO;21612;421;NORMAL;TARDE;20;4º ANO;14;1
EM RETIRO;21613;511;NORMAL;MANHÃ;25;5º ANO;21;2
EM RETIRO;21615;521;NORMAL;TARDE;25;5º ANO;15;1
EM RITA SAMPAIO CARTAXO;20990;PRÉ I 01;NORMAL;INTEGRAL;20;PRÉ I;18;0
EM RITA SAMPAIO CARTAXO;20991;PRÉ II 01;NORMAL;INTEGRAL;20;PRÉ II;18;1
EM RITA SAMPAIO CARTAXO;21137;101;NORMAL;INTEGRAL;25;1º ANO;25;1
EM RITA SAMPAIO CARTAXO;21138;201;NORMAL;INTEGRAL;25;2º ANO;24;3
EM RITA SAMPAIO CARTAXO;21570;401;NORMAL;INTEGRAL;30;4º ANO;26;4
EM RITA SAMPAIO CARTAXO;21573;501;NORMAL;INTEGRAL;30;5º ANO;28;2
EM RITA SAMPAIO CARTAXO;22440;301;NORMAL;INTEGRAL;25;3º ANO;23;3
EM ROMILDA NUNES LINDA;20992;BERÇÁRIO II 01;NORMAL;INTEGRAL;12;BERÇÁRIO II;12;0
EM ROMILDA NUNES LINDA;20993;MATERNAL I 01;NORMAL;INTEGRAL;15;MATERNAL I;15;0
EM ROMILDA NUNES LINDA;20994;MATERNAL II 01;NORMAL;INTEGRAL;15;MATERNAL II;14;0
EM ROMILDA NUNES LINDA;20995;PRÉ I 01;NORMAL;INTEGRAL;20;PRÉ I;19;1
EM ROMILDA NUNES LINDA;20996;PRÉ II 01;NORMAL;INTEGRAL;20;PRÉ II;18;4
EM ROMILDA NUNES LINDA;20997;PRÉ II 02;NORMAL;INTEGRAL;20;PRÉ II;19;0
EM ROMILDA NUNES LINDA;21223;101;NORMAL;INTEGRAL;25;1º ANO;20;2
EM ROMILDA NUNES LINDA;21224;102;NORMAL;INTEGRAL;25;1º ANO;23;1
EM ROMILDA NUNES LINDA;21225;201;NORMAL;INTEGRAL;25;2º ANO;25;3
EM ROMILDA NUNES LINDA;21226;202;NORMAL;INTEGRAL;25;2º ANO;24;3
EM ROMILDA NUNES LINDA;21604;411;NORMAL;MANHÃ;30;4º ANO;24;2
EM ROMILDA NUNES LINDA;21606;421;NORMAL;TARDE;30;4º ANO;26;2
EM ROMILDA NUNES LINDA;21607;511;NORMAL;MANHÃ;30;5º ANO;22;2
EM ROMILDA NUNES LINDA;21608;521;NORMAL;TARDE;30;5º ANO;21;1
EM ROMILDA NUNES LINDA;22494;301;NORMAL;INTEGRAL;25;3º ANO;23;1
EM ROMILDA NUNES LINDA;22495;302;NORMAL;INTEGRAL;25;3º ANO;23;0
EM SÃO BENTO DA LAGOA;20870;MATERNAL I 01;NORMAL;INTEGRAL;15;MATERNAL I;15;0
EM SÃO BENTO DA LAGOA;20871;MATERNAL II 01;NORMAL;INTEGRAL;15;MATERNAL II;15;1
EM SÃO BENTO DA LAGOA;20872;MATERNAL II 02;NORMAL;INTEGRAL;15;MATERNAL II;15;2
EM SÃO BENTO DA LAGOA;20873;MATERNAL II 03;NORMAL;INTEGRAL;15;MATERNAL II;15;0
EM SÃO BENTO DA LAGOA;20875;MATERNAL II 04;NORMAL;INTEGRAL;15;MATERNAL II;15;0
EM SÃO BENTO DA LAGOA;20878;MATERNAL II 05;NORMAL;INTEGRAL;15;MATERNAL II;14;1
EM SÃO BENTO DA LAGOA;20902;PRÉ I 01;NORMAL;INTEGRAL;20;PRÉ I;18;2
EM SÃO BENTO DA LAGOA;20903;PRÉ I 02;NORMAL;INTEGRAL;20;PRÉ I;19;2
EM SÃO BENTO DA LAGOA;20904;PRÉ I 03;NORMAL;INTEGRAL;20;PRÉ I;19;3
EM SÃO BENTO DA LAGOA;20905;PRÉ I 04;NORMAL;INTEGRAL;20;PRÉ I;19;3
EM SÃO BENTO DA LAGOA;20906;PRÉ II 01;NORMAL;INTEGRAL;20;PRÉ II;19;1
EM SÃO BENTO DA LAGOA;20907;PRÉ II 02;NORMAL;INTEGRAL;20;PRÉ II;20;2
EM SÃO BENTO DA LAGOA;20908;PRÉ II 03;NORMAL;INTEGRAL;20;PRÉ II;19;3
EM SÃO BENTO DA LAGOA;22430;MATERNAL I 02;NORMAL;INTEGRAL;15;MATERNAL I;15;0
EM VEREADOR ANICETO ELIAS;21392;111;NORMAL;MANHÃ;25;1º ANO;24;4
EM VEREADOR ANICETO ELIAS;21393;121;NORMAL;TARDE;25;1º ANO;24;1
EM VEREADOR ANICETO ELIAS;21394;211;NORMAL;MANHÃ;25;2º ANO;21;2
EM VEREADOR ANICETO ELIAS;21395;212;NORMAL;MANHÃ;25;2º ANO;22;2
EM VEREADOR ANICETO ELIAS;21396;213;NORMAL;MANHÃ;25;2º ANO;20;2
EM VEREADOR ANICETO ELIAS;21397;221;NORMAL;TARDE;25;2º ANO;25;3
EM VEREADOR ANICETO ELIAS;21398;222;NORMAL;TARDE;25;2º ANO;25;2
EM VEREADOR ANICETO ELIAS;21402;321;NORMAL;TARDE;25;3º ANO;20;3
EM VEREADOR ANICETO ELIAS;21403;322;NORMAL;TARDE;25;3º ANO;21;2
EM VEREADOR ANICETO ELIAS;21404;323;NORMAL;TARDE;25;3º ANO;22;1
EM VEREADOR ANICETO ELIAS;22025;411;NORMAL;MANHÃ;30;4º ANO;26;4
EM VEREADOR ANICETO ELIAS;22026;412;NORMAL;MANHÃ;30;4º ANO;27;2
EM VEREADOR ANICETO ELIAS;22027;421;NORMAL;TARDE;30;4º ANO;25;1
EM VEREADOR ANICETO ELIAS;22028;422;NORMAL;TARDE;30;4º ANO;25;2
EM VEREADOR ANICETO ELIAS;22029;423;NORMAL;TARDE;30;4º ANO;25;1
EM VEREADOR ANICETO ELIAS;22030;511;NORMAL;MANHÃ;30;5º ANO;30;2
EM VEREADOR ANICETO ELIAS;22031;512;NORMAL;MANHÃ;30;5º ANO;30;0
EM VEREADOR ANICETO ELIAS;22032;521;NORMAL;TARDE;30;5º ANO;24;1
EM VEREADOR ANICETO ELIAS;22033;522;NORMAL;TARDE;30;5º ANO;29;3
EM VEREADOR ANICETO ELIAS;22609;311;NORMAL;MANHÃ;25;3º ANO;24;2
EM VEREADOR ANICETO ELIAS;22610;312;NORMAL;MANHÃ;25;3º ANO;25;1
EM VEREADOR ANICETO ELIAS;22611;313;NORMAL;MANHÃ;25;3º ANO;24;0
EM VEREADOR JOÃO DA SILVA BEZERRA;21714;601;NORMAL;INTEGRAL;35;6º ANO;33;1
EM VEREADOR JOÃO DA SILVA BEZERRA;21717;602;NORMAL;INTEGRAL;35;6º ANO;31;4
EM VEREADOR JOÃO DA SILVA BEZERRA;21718;603;NORMAL;INTEGRAL;35;6º ANO;35;2
EM VEREADOR JOÃO DA SILVA BEZERRA;21719;604;NORMAL;INTEGRAL;33;6º ANO;32;2
EM VEREADOR JOÃO DA SILVA BEZERRA;21720;711;NORMAL;MANHÃ;33;7º ANO;32;3
EM VEREADOR JOÃO DA SILVA BEZERRA;21721;712;NORMAL;MANHÃ;35;7º ANO;33;4
EM VEREADOR JOÃO DA SILVA BEZERRA;21722;721;NORMAL;TARDE;33;7º ANO;31;3
EM VEREADOR JOÃO DA SILVA BEZERRA;21723;722;NORMAL;TARDE;33;7º ANO;24;1
EM VEREADOR JOÃO DA SILVA BEZERRA;21724;811;NORMAL;MANHÃ;36;8º ANO;36;4
EM VEREADOR JOÃO DA SILVA BEZERRA;21725;812;NORMAL;MANHÃ;35;8º ANO;31;5
EM VEREADOR JOÃO DA SILVA BEZERRA;21726;821;NORMAL;TARDE;33;8º ANO;30;4
EM VEREADOR JOÃO DA SILVA BEZERRA;21727;822;NORMAL;TARDE;33;8º ANO;28;1
EM VEREADOR JOÃO DA SILVA BEZERRA;21728;911;NORMAL;MANHÃ;35;9º ANO;35;3
EM VEREADOR JOÃO DA SILVA BEZERRA;21729;912;NORMAL;MANHÃ;35;9º ANO;34;1
EM VEREADOR JOÃO DA SILVA BEZERRA;21730;921;NORMAL;TARDE;33;9º ANO;31;2
EM VEREADOR JOÃO DA SILVA BEZERRA;21731;922;NORMAL;TARDE;33;9º ANO;30;0
EM VEREADOR LEVY CARLOS RIBEIRO;21012;PRÉ I 11;NORMAL;MANHÃ;20;PRÉ I;13;2
EM VEREADOR LEVY CARLOS RIBEIRO;21013;PRÉ I 12;NORMAL;MANHÃ;20;PRÉ I;15;1
EM VEREADOR LEVY CARLOS RIBEIRO;21014;PRÉ I 21;NORMAL;TARDE;15;PRÉ I;10;1
EM VEREADOR LEVY CARLOS RIBEIRO;21015;PRÉ I 22;NORMAL;TARDE;15;PRÉ I;9;0
EM VEREADOR LEVY CARLOS RIBEIRO;21016;PRÉ II 01;NORMAL;INTEGRAL;20;PRÉ II;18;3
EM VEREADOR LEVY CARLOS RIBEIRO;21017;PRÉ II 02;NORMAL;INTEGRAL;20;PRÉ II;18;2
EM VEREADOR LEVY CARLOS RIBEIRO;21207;101;NORMAL;INTEGRAL;25;1º ANO;25;3
EM VEREADOR LEVY CARLOS RIBEIRO;21208;102;NORMAL;INTEGRAL;25;1º ANO;21;3
EM VEREADOR LEVY CARLOS RIBEIRO;21209;103;NORMAL;INTEGRAL;25;1º ANO;21;4
EM VEREADOR LEVY CARLOS RIBEIRO;21210;104;NORMAL;INTEGRAL;22;1º ANO;21;3
EM VEREADOR LEVY CARLOS RIBEIRO;21211;211;NORMAL;MANHÃ;25;2º ANO;21;1
EM VEREADOR LEVY CARLOS RIBEIRO;21212;212;NORMAL;MANHÃ;25;2º ANO;24;3
EM VEREADOR LEVY CARLOS RIBEIRO;21213;221;NORMAL;TARDE;25;2º ANO;23;4
EM VEREADOR LEVY CARLOS RIBEIRO;22485;311;NORMAL;MANHÃ;25;3º ANO;21;4
EM VEREADOR LEVY CARLOS RIBEIRO;22486;321;NORMAL;TARDE;25;3º ANO;22;4
EM VEREADOR LEVY CARLOS RIBEIRO;22487;322;NORMAL;TARDE;25;3º ANO;23;4
EM VEREADOR OSDEVALDO MARINS DA MATTA;21385;121;NORMAL;TARDE;25;1º ANO;22;1
EM VEREADOR OSDEVALDO MARINS DA MATTA;21386;122;NORMAL;TARDE;25;1º ANO;22;2
EM VEREADOR OSDEVALDO MARINS DA MATTA;21387;123;NORMAL;TARDE;25;1º ANO;21;2
EM VEREADOR OSDEVALDO MARINS DA MATTA;21388;221;NORMAL;TARDE;25;2º ANO;21;1
EM VEREADOR OSDEVALDO MARINS DA MATTA;21389;222;NORMAL;TARDE;25;2º ANO;22;1
EM VEREADOR OSDEVALDO MARINS DA MATTA;22112;421;NORMAL;TARDE;30;4º ANO;24;1
EM VEREADOR OSDEVALDO MARINS DA MATTA;22113;422;NORMAL;TARDE;30;4º ANO;22;1
EM VEREADOR OSDEVALDO MARINS DA MATTA;22114;521;NORMAL;TARDE;30;5º ANO;23;1
EM VEREADOR OSDEVALDO MARINS DA MATTA;22115;522;NORMAL;TARDE;30;5º ANO;24;1
EM VEREADOR OSDEVALDO MARINS DA MATTA;22116;611;NORMAL;MANHÃ;35;6º ANO;32;3
EM VEREADOR OSDEVALDO MARINS DA MATTA;22117;612;NORMAL;MANHÃ;35;6º ANO;30;2
EM VEREADOR OSDEVALDO MARINS DA MATTA;22118;613;NORMAL;MANHÃ;35;6º ANO;29;1
EM VEREADOR OSDEVALDO MARINS DA MATTA;22119;711;NORMAL;MANHÃ;35;7º ANO;29;3
EM VEREADOR OSDEVALDO MARINS DA MATTA;22120;712;NORMAL;MANHÃ;35;7º ANO;29;4
EM VEREADOR OSDEVALDO MARINS DA MATTA;22121;713;NORMAL;MANHÃ;35;7º ANO;29;3
EM VEREADOR OSDEVALDO MARINS DA MATTA;22122;811;NORMAL;MANHÃ;35;8º ANO;30;1
EM VEREADOR OSDEVALDO MARINS DA MATTA;22123;812;NORMAL;MANHÃ;35;8º ANO;32;2
EM VEREADOR OSDEVALDO MARINS DA MATTA;22124;813;NORMAL;MANHÃ;35;8º ANO;30;2
EM VEREADOR OSDEVALDO MARINS DA MATTA;22125;911;NORMAL;MANHÃ;35;9º ANO;28;1
EM VEREADOR OSDEVALDO MARINS DA MATTA;22126;912;NORMAL;MANHÃ;35;9º ANO;24;2
EM VEREADOR OSDEVALDO MARINS DA MATTA;22127;913;NORMAL;MANHÃ;35;9º ANO;30;0
EM VEREADOR OSDEVALDO MARINS DA MATTA;22488;321;NORMAL;TARDE;26;3º ANO;26;2
EM VEREADOR OSDEVALDO MARINS DA MATTA;22489;322;NORMAL;TARDE;25;3º ANO;24;0
EM WILSON SARDINHA DA SILVA;20987;PRÉ I 01;NORMAL;INTEGRAL;20;PRÉ I;20;3
EM WILSON SARDINHA DA SILVA;20988;PRÉ I 02;NORMAL;INTEGRAL;17;PRÉ I;17;2
EM WILSON SARDINHA DA SILVA;20989;PRÉ II 01;NORMAL;INTEGRAL;20;PRÉ II;19;1
EM WILSON SARDINHA DA SILVA;21152;101;NORMAL;INTEGRAL;25;1º ANO;22;2
EM WILSON SARDINHA DA SILVA;21153;102;NORMAL;INTEGRAL;25;1º ANO;23;2
EM WILSON SARDINHA DA SILVA;21154;201;NORMAL;INTEGRAL;25;2º ANO;20;3
EM WILSON SARDINHA DA SILVA;21155;202;NORMAL;INTEGRAL;25;2º ANO;22;3
EM WILSON SARDINHA DA SILVA;21576;401;NORMAL;INTEGRAL;30;4º ANO;22;4
EM WILSON SARDINHA DA SILVA;21579;501;NORMAL;INTEGRAL;30;5º ANO;20;2
EM WILSON SARDINHA DA SILVA;22431;301;NORMAL;INTEGRAL;25;3º ANO;25;0
INSTITUTO DE AÇÃO SOCIAL VIDA;21941;BERÇÁRIO II 01;NORMAL;INTEGRAL;11;BERÇÁRIO II;11;0
INSTITUTO DE AÇÃO SOCIAL VIDA;21942;MATERNAL I 01;NORMAL;INTEGRAL;23;MATERNAL I;23;0
INSTITUTO DE AÇÃO SOCIAL VIDA;21943;MATERNAL II 01;NORMAL;INTEGRAL;11;MATERNAL II;10;1
INSTITUTO DE AÇÃO SOCIAL VIDA;21974;MATERNAL II 02;NORMAL;INTEGRAL;13;MATERNAL II;13;0
INSTITUTO DE AÇÃO SOCIAL VIDA;21975;MATERNAL II 03;NORMAL;INTEGRAL;18;MATERNAL II;14;2
INSTITUTO DE AÇÃO SOCIAL VIDA;22474;BERÇÁRIO II 02;NORMAL;INTEGRAL;7;BERÇÁRIO II;7;0
INSTITUTO DE AÇÃO SOCIAL VIDA;22475;BERÇÁRIO II 03;NORMAL;INTEGRAL;7;BERÇÁRIO II;7;0
INSTITUTO DE AÇÃO SOCIAL VIDA;22476;MATERNAL I 02;NORMAL;INTEGRAL;20;MATERNAL I;20;0
INSTITUTO DE AÇÃO SOCIAL VIDA;22477;MATERNAL I 03;NORMAL;INTEGRAL;26;MATERNAL I;22;2
INSTITUTO DE EDUCAÇÃO BRINCANDO E APRENDENDO;21976;MATERNAL I 01;NORMAL;INTEGRAL;20;MATERNAL I;20;0
INSTITUTO DE EDUCAÇÃO BRINCANDO E APRENDENDO;21977;MATERNAL II 01;NORMAL;INTEGRAL;26;MATERNAL II;25;1
INSTITUTO DE EDUCAÇÃO BRINCANDO E APRENDENDO;21978;MATERNAL II 02;NORMAL;INTEGRAL;14;MATERNAL II;14;0
INSTITUTO DE EDUCAÇÃO BRINCANDO E APRENDENDO;21979;MATERNAL II 03;NORMAL;INTEGRAL;33;MATERNAL II;31;0
INSTITUTO DE EDUCAÇÃO BRINCANDO E APRENDENDO;22710;MATERNAL I 02;NORMAL;INTEGRAL;14;MATERNAL I;9;0
JARDIM DE INFÂNCIA MUNICIPAL CONSUELO TARQUINIO DUQUE - JIM PEQUENOS NAVEGANTES;22227;BERÇÁRIO II 01;NORMAL;INTEGRAL;12;BERÇÁRIO II;12;0
JARDIM DE INFÂNCIA MUNICIPAL CONSUELO TARQUINIO DUQUE - JIM PEQUENOS NAVEGANTES;22228;MATERNAL I 01;NORMAL;INTEGRAL;15;MATERNAL I;15;0
JARDIM DE INFÂNCIA MUNICIPAL CONSUELO TARQUINIO DUQUE - JIM PEQUENOS NAVEGANTES;22229;MATERNAL I 02;NORMAL;INTEGRAL;16;MATERNAL I;16;0
JARDIM DE INFÂNCIA MUNICIPAL CONSUELO TARQUINIO DUQUE - JIM PEQUENOS NAVEGANTES;22230;MATERNAL II 02;NORMAL;INTEGRAL;15;MATERNAL II;14;0
JARDIM DE INFÂNCIA MUNICIPAL CONSUELO TARQUINIO DUQUE - JIM PEQUENOS NAVEGANTES;22231;MATERNAL II 01;NORMAL;INTEGRAL;15;MATERNAL II;15;0
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20972;MATERNAL I 01;NORMAL;INTEGRAL;16;MATERNAL I;16;0
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20973;MATERNAL I 02;NORMAL;INTEGRAL;16;MATERNAL I;16;0
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20974;MATERNAL I 03;NORMAL;INTEGRAL;15;MATERNAL I;14;0
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20975;MATERNAL II 01;NORMAL;INTEGRAL;15;MATERNAL II;14;0
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20976;MATERNAL II 02;NORMAL;INTEGRAL;15;MATERNAL II;13;0
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20977;MATERNAL II 03;NORMAL;INTEGRAL;15;MATERNAL II;14;0
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20978;MATERNAL II 04;NORMAL;INTEGRAL;15;MATERNAL II;14;0
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20979;MATERNAL II 05;NORMAL;INTEGRAL;15;MATERNAL II;13;0
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20980;MATERNAL II 06;NORMAL;INTEGRAL;15;MATERNAL II;14;2
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20981;MATERNAL II 07;NORMAL;INTEGRAL;15;MATERNAL II;14;0
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20982;PRÉ I 01;NORMAL;INTEGRAL;20;PRÉ I;18;1
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20983;PRÉ I 02;NORMAL;INTEGRAL;20;PRÉ I;19;1
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20984;PRÉ I 03;NORMAL;INTEGRAL;20;PRÉ I;19;1
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20985;PRÉ I 04;NORMAL;INTEGRAL;20;PRÉ I;18;2
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;20986;PRÉ II 01;NORMAL;INTEGRAL;20;PRÉ II;18;2
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;21139;111;NORMAL;MANHÃ;25;1º ANO;22;2
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;21140;112;NORMAL;MANHÃ;25;1º ANO;23;2
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;21141;113;NORMAL;MANHÃ;25;1º ANO;21;3
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;21143;121;NORMAL;TARDE;26;1º ANO;25;2
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;21145;123;NORMAL;TARDE;25;1º ANO;25;3
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;21146;122;NORMAL;TARDE;26;1º ANO;24;1
JARDIM DE INFÂNCIA MUNICIPAL PROFESSORA ENILZEA SABINO DA COSTA PIRES;22491;MATERNAL II 08;NORMAL;INTEGRAL;15;MATERNAL II;14;1
JARDIM ESCOLA NOSSA SENHORA DO AMPARO;22328;BERÇÁRIO II 01;NORMAL;INTEGRAL;8;BERÇÁRIO II;7;0
JARDIM ESCOLA NOSSA SENHORA DO AMPARO;22329;MATERNAL I 01;NORMAL;INTEGRAL;13;MATERNAL I;13;0
JARDIM ESCOLA NOSSA SENHORA DO AMPARO;22331;MATERNAL I 02;NORMAL;INTEGRAL;16;MATERNAL I;14;0
JARDIM ESCOLA NOSSA SENHORA DO AMPARO;22389;BERÇÁRIO II 02;NORMAL;INTEGRAL;9;BERÇÁRIO II;9;0
JIM PROF BARBARA RODRIGUES DA SILVA;21130;BERÇÁRIO II 01;NORMAL;INTEGRAL;12;BERÇÁRIO II;12;0
JIM PROF BARBARA RODRIGUES DA SILVA;21131;MATERNAL I 01;NORMAL;INTEGRAL;15;MATERNAL I;15;1
JIM PROF BARBARA RODRIGUES DA SILVA;21132;MATERNAL I 02;NORMAL;INTEGRAL;15;MATERNAL I;14;1
JIM PROF BARBARA RODRIGUES DA SILVA;21133;MATERNAL II 01;NORMAL;INTEGRAL;15;MATERNAL II;15;0
JIM PROF BARBARA RODRIGUES DA SILVA;21134;MATERNAL II 02;NORMAL;INTEGRAL;15;MATERNAL II;15;3
JIM PROF BARBARA RODRIGUES DA SILVA;21136;MATERNAL II 03;NORMAL;INTEGRAL;15;MATERNAL II;15;1
JIM PROFESSORA MARA REJANE GOMES BUENO;20926;BERÇÁRIO II 01;NORMAL;INTEGRAL;12;BERÇÁRIO II;12;0
JIM PROFESSORA MARA REJANE GOMES BUENO;20927;MATERNAL I 11;NORMAL;MANHÃ;15;MATERNAL I;15;0
JIM PROFESSORA MARA REJANE GOMES BUENO;20928;MATERNAL I 21;NORMAL;TARDE;15;MATERNAL I;15;2
JIM PROFESSORA MARA REJANE GOMES BUENO;20929;MATERNAL II 11;NORMAL;MANHÃ;15;MATERNAL II;14;1
JIM PROFESSORA MARA REJANE GOMES BUENO;20930;MATERNAL II 12;NORMAL;MANHÃ;15;MATERNAL II;15;3
JIM PROFESSORA MARA REJANE GOMES BUENO;20931;MATERNAL II 13;NORMAL;MANHÃ;15;MATERNAL II;15;1
JIM PROFESSORA MARA REJANE GOMES BUENO;20932;MATERNAL II 21;NORMAL;TARDE;15;MATERNAL II;15;1
JIM PROFESSORA MARA REJANE GOMES BUENO;20933;MATERNAL II 22;NORMAL;TARDE;15;MATERNAL II;13;1
JIM PROFESSORA MARA REJANE GOMES BUENO;20934;MATERNAL II 23;NORMAL;TARDE;15;MATERNAL II;15;3
JIM PROFESSORA MARIA DE LOURDES CRUZ SILVA;20894;MATERNAL I 01;NORMAL;INTEGRAL;15;MATERNAL I;15;0
JIM PROFESSORA MARIA DE LOURDES CRUZ SILVA;20896;MATERNAL II 01;NORMAL;INTEGRAL;15;MATERNAL II;15;0
JIM PROFESSORA MARIA DE LOURDES CRUZ SILVA;20898;PRÉ I 01;NORMAL;INTEGRAL;16;PRÉ I;16;1
JIM PROFESSORA MARIA DE LOURDES CRUZ SILVA;20899;PRÉ I 02;NORMAL;INTEGRAL;15;PRÉ I;15;1
JIM PROFESSORA MARIA DE LOURDES CRUZ SILVA;20900;PRÉ I 03;NORMAL;INTEGRAL;16;PRÉ I;16;2
JIM PROFESSORA MARIA DE LOURDES CRUZ SILVA;20901;PRÉ II 01;NORMAL;INTEGRAL;17;PRÉ II;16;4
JIM PROFESSORA MARIA HONORINA ZANINI BERNARDO;20961;BERÇÁRIO II 01;NORMAL;INTEGRAL;12;BERÇÁRIO II;11;0
JIM PROFESSORA MARIA HONORINA ZANINI BERNARDO;20963;MATERNA I 01;NORMAL;INTEGRAL;15;MATERNAL I;14;1
JIM PROFESSORA MARIA HONORINA ZANINI BERNARDO;20964;MATERNA II 01;NORMAL;INTEGRAL;15;MATERNAL II;14;2
